                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.78161,                0.74502,                 1.2529,                0.92854,                0.93214,                0.96065,                0.83861,                0.55114,                 0.3817,                 1.0276,               0.002872,               0.002872,               0.002872
                     74,                0.77251,                0.72472,                 1.2409,                0.92646,                0.93135,                 0.9612,                0.83917,                0.54795,                0.38045,                  1.025,               0.002773,               0.002773,               0.002773
                     75,                0.77742,                0.73234,                 1.2475,                0.92944,                0.92949,                0.96125,                0.84067,                  0.546,                0.37709,                 1.0236,               0.002674,               0.002674,               0.002674
                     76,                0.76502,                 0.7215,                 1.2387,                0.93305,                0.92896,                0.96146,                0.84027,                0.54529,                0.37596,                 1.0238,               0.002575,               0.002575,               0.002575
                     77,                0.77014,                 0.7151,                 1.2383,                0.93677,                0.92565,                0.96141,                0.84095,                0.54453,                0.37471,                 1.0233,               0.002476,               0.002476,               0.002476
                     78,                0.76355,                0.71786,                 1.2356,                0.93548,                0.92442,                0.96113,                0.84049,                0.54463,                0.37272,                 1.0234,               0.002377,               0.002377,               0.002377
                     79,                0.76395,                0.71392,                 1.2356,                0.93808,                0.92717,                0.96133,                0.84078,                0.54229,                0.37202,                 1.0215,               0.002278,               0.002278,               0.002278
                     80,                0.75807,                0.70432,                 1.2281,                0.93884,                0.92609,                 0.9617,                0.84193,                0.54121,                0.36974,                 1.0206,               0.002179,               0.002179,               0.002179
                     81,                0.76006,                0.70692,                 1.2285,                0.94013,                0.92377,                0.96246,                 0.8418,                0.54011,                 0.3692,                 1.0198,                0.00208,                0.00208,                0.00208
                     82,                0.75978,                0.70701,                 1.2323,                0.94321,                0.92163,                0.96293,                0.84193,                0.54168,                0.36907,                 1.0205,               0.001981,               0.001981,               0.001981
                     83,                0.75674,                0.69866,                 1.2319,                 0.9402,                0.92463,                0.96402,                 0.8426,                0.54197,                0.36974,                 1.0207,               0.001882,               0.001882,               0.001882
                     84,                 0.7488,                0.69489,                 1.2235,                0.94357,                0.92452,                0.96434,                 0.8425,                0.54194,                0.36876,                 1.0203,               0.001783,               0.001783,               0.001783
                     85,                0.74672,                0.69091,                 1.2209,                0.94338,                0.92521,                0.96376,                0.84185,                0.54221,                0.36737,                 1.0202,               0.001684,               0.001684,               0.001684
                     86,                0.74201,                0.68596,                 1.2213,                  0.939,                0.93025,                0.96399,                0.84215,                0.54046,                0.36729,                 1.0187,               0.001585,               0.001585,               0.001585
                     87,                0.74106,                 0.6826,                 1.2202,                0.94534,                0.92619,                0.96373,                0.84266,                0.54078,                0.36606,                 1.0187,               0.001486,               0.001486,               0.001486
                     88,                0.74362,                0.69022,                 1.2152,                0.94684,                0.92631,                 0.9638,                0.84223,                0.54073,                0.36475,                 1.0186,               0.001387,               0.001387,               0.001387
                     89,                0.73988,                0.68161,                 1.2175,                0.94898,                0.92649,                0.96367,                0.84251,                0.54057,                0.36327,                 1.0187,               0.001288,               0.001288,               0.001288
                     90,                0.52261,                0.35736,                 1.0495,                0.94414,                0.92886,                0.96361,                0.84337,                0.53947,                0.36148,                 1.0182,               0.001189,               0.001189,               0.001189
                     91,                0.51772,                0.34064,                 1.0443,                0.94514,                0.92844,                0.96432,                0.84567,                0.53757,                0.35975,                 1.0168,                0.00109,                0.00109,                0.00109
                     92,                0.50878,                0.33565,                 1.0403,                0.93853,                0.93364,                0.96459,                0.84825,                0.53631,                0.35879,                  1.016,               0.000991,               0.000991,               0.000991
                     93,                0.50297,                 0.3253,                 1.0324,                0.93928,                0.93569,                0.96499,                0.84853,                0.53462,                0.35821,                 1.0148,               0.000892,               0.000892,               0.000892
                     94,                0.49944,                0.32225,                 1.0311,                0.93903,                0.93514,                0.96526,                0.84904,                0.53247,                0.35694,                  1.013,               0.000793,               0.000793,               0.000793
                     95,                0.49108,                0.31848,                 1.0257,                0.93782,                0.93445,                0.96548,                0.85004,                0.53038,                 0.3555,                 1.0111,               0.000694,               0.000694,               0.000694
                     96,                0.48764,                0.30962,                  1.019,                0.93602,                0.93785,                0.96549,                0.85142,                0.52928,                0.35473,                 1.0101,               0.000595,               0.000595,               0.000595
                     97,                0.48425,                0.30775,                 1.0173,                0.93868,                0.93353,                0.96554,                0.85247,                0.52822,                0.35389,                 1.0092,               0.000496,               0.000496,               0.000496
                     98,                0.48143,                0.30631,                  1.014,                0.93701,                0.93553,                0.96567,                0.85319,                 0.5274,                0.35278,                 1.0086,               0.000397,               0.000397,               0.000397
                     99,                0.47553,                0.29978,                 1.0128,                0.93736,                0.93367,                0.96569,                 0.8532,                0.52696,                0.35205,                 1.0083,               0.000298,               0.000298,               0.000298
